f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,class
1.83006,1.51179,-0.29942,0.06177,-0.70070,0.87348,0.38794,-0.45283,0.67733,-0.51735,-0.10352,1.75604,1.58099,0.58527,-0.08931,2.74603,0.85654,0.87375,0.14901,0.89675,-0.30399,0
0.90921,-0.02428,1.29214,1.31477,1.21256,0.66775,-0.53327,0.90025,-1.10048,0.54988,-0.47683,1.37844,0.65600,-1.12230,-1.30068,1.20103,0.66309,0.23618,-0.75578,1.50566,-1.88795,0
0.79549,0.58291,0.92803,0.90269,-2.13341,0.71076,1.10936,-1.18460,-0.42237,0.96960,0.06075,0.23172,0.05570,2.05640,-0.01195,0.54335,1.14241,0.78440,0.96437,-0.36980,-1.67543,0
0.63954,1.95041,-0.30408,0.46737,0.59029,0.17910,0.18200,0.34931,-1.78088,0.16134,0.13725,-0.36929,1.99257,0.74329,1.29809,-0.29993,0.11604,1.73314,0.79251,-0.77644,-0.44109,0
-0.48337,-1.68249,-0.50364,2.63767,0.88249,-1.62145,0.29185,0.11634,2.76170,0.03758,0.24865,1.17676,1.14960,2.05832,1.79204,0.66532,-1.19872,2.80147,0.41489,0.22102,2.53858,0
1.24675,0.96215,-0.90169,-1.16417,-0.32301,-0.10068,-1.22665,-0.24868,-0.12857,-1.41828,-0.18306,-0.06620,0.88482,0.53710,0.90905,1.71273,-1.25552,0.09472,1.03735,1.52559,1.98364,0
0.32643,1.52400,0.44278,0.21157,0.04136,-0.52462,-1.21131,0.61875,-0.97205,0.88984,0.27281,0.40262,1.11853,0.85380,-0.34065,0.42385,0.80130,-0.57491,-0.05808,-0.51703,1.22642,0
0.69765,-0.05635,1.79440,-0.30817,-0.72452,-0.09089,0.43707,0.76757,-1.18056,1.19404,1.06557,-0.37507,1.73193,2.18019,-0.41985,-1.43555,-0.27169,0.66082,-1.19519,1.27835,-0.50287,0
1.20979,0.51077,1.99482,-0.67959,0.76165,1.06678,0.72450,0.71614,-0.24377,1.85866,-0.24186,-0.90242,-0.49338,-0.40110,-0.37318,0.94554,1.09663,1.44332,-0.29770,1.33949,-0.08692,0
0.89278,-1.31430,0.93996,-0.40742,0.09089,0.41840,0.66814,1.24871,1.65512,-0.19847,1.51223,0.09766,1.21928,-1.92020,2.16659,1.77322,-0.34296,0.01824,0.65182,0.36402,1.02614,0
1.20399,0.24533,-0.07704,-0.76085,-1.05931,1.31529,1.81294,0.53375,0.65885,1.74536,2.25577,-0.19590,-1.07974,1.87433,2.53574,2.64617,0.11913,1.39154,-0.10474,-0.97610,1.43783,0
0.81743,1.22691,1.17526,-1.51655,0.62802,0.75643,-0.79827,0.97804,0.08183,0.96084,1.59428,1.15099,0.89891,-0.02926,0.74077,-1.32567,-1.30768,1.44222,-0.35166,0.29118,-0.41592,0
2.82836,0.03470,0.19318,1.21951,-0.74857,-0.55212,0.15916,0.32650,-0.19106,-0.51618,-0.48421,1.16690,0.86801,-1.20233,0.03199,0.63366,0.88915,0.28288,1.95037,-0.02420,0.35059,0
-1.51017,0.46240,0.12878,2.32449,0.50853,0.09838,-0.01759,1.27657,0.91738,1.15020,0.31095,-0.58033,1.26091,0.37194,-0.04070,0.51906,-0.95014,-0.44762,-0.61234,0.38248,0.44157,0
0.51374,0.36234,-0.54272,-0.80579,2.01509,1.40291,0.51004,2.10780,-0.66619,-0.06303,-0.21509,1.72392,-0.34809,1.25360,-0.85226,1.06340,0.98657,3.06391,0.15890,-1.14244,-0.08934,0
1.04168,-0.37959,0.04490,1.05756,2.76953,1.96521,-0.80474,-0.34724,0.53211,0.09342,-0.59353,0.66753,1.37561,0.24884,1.27387,1.80352,-0.94428,0.88373,2.56250,-0.44188,-0.06925,0
0.67746,-0.81878,0.45012,0.83294,-1.00906,-0.69045,-0.63268,1.28786,0.82296,1.14522,-1.22570,0.51498,-0.97210,1.50110,1.39771,-0.00392,1.16162,-0.03714,1.84129,-0.08685,0.38237,0
1.87451,0.55182,-0.80135,-0.24890,0.01941,1.39424,0.50165,1.19754,-0.62962,-0.52681,1.67983,-0.82492,1.17178,0.55790,0.08864,1.87218,-0.36942,-1.32319,0.34774,0.11124,-0.82022,0
0.73749,0.44073,0.08745,0.41433,1.04848,0.25889,0.77227,-0.12761,1.38211,0.41773,-0.30858,0.20035,0.80354,-0.41953,2.54338,0.84686,1.29099,0.68435,2.55060,0.05583,0.35983,0
-0.77038,-0.28273,2.74431,2.51665,1.31709,-0.62410,2.26746,2.79896,0.26160,-0.23357,0.54854,0.86415,-1.14275,-0.84691,0.71577,0.32436,-0.47107,0.22570,0.39791,2.56345,-0.08833,0
1.65880,0.38950,1.37465,1.54374,1.74961,-0.07848,1.08132,-0.22597,-0.23793,-0.90148,-0.51387,1.86503,0.23020,0.32713,-0.06833,1.79898,2.08896,0.46305,0.28104,1.01613,2.22503,0
1.33154,1.40310,-0.05856,1.99267,0.14503,1.93903,0.01981,-0.35045,-0.54324,0.09389,0.13220,0.57985,1.63871,0.06840,1.29675,1.39641,1.32555,-1.00869,0.41875,1.34410,-1.21342,0
-0.48322,-0.28064,0.55912,1.02124,0.57983,0.41823,-1.65400,-0.61409,0.55880,1.89796,-1.29629,0.44911,0.61557,-0.44488,-0.21738,-0.38126,-1.02571,1.95078,1.78933,0.37764,-1.69868,0
0.89835,0.66685,0.35060,0.74505,1.11121,-1.60581,2.10808,-0.55329,-0.00758,2.19812,-1.58258,2.34904,0.62408,0.84183,-1.29014,0.99702,-1.23786,2.18663,1.84715,1.21724,0.55910,0
0.82689,0.92032,-0.13820,1.09497,-0.08883,-1.49302,0.53399,0.32232,1.62725,-0.12033,0.65918,-0.69268,-0.40826,-1.22604,0.04331,2.21123,0.88286,1.21829,0.23294,1.13295,-0.49361,0
1.00183,0.59107,1.04716,2.23191,1.43606,0.69075,0.76435,0.59435,0.30409,0.93909,0.10903,0.83352,-0.12634,1.82017,0.58007,1.21779,3.02785,0.50098,1.49442,0.80479,0.31350,0
-0.19756,-1.81464,0.94187,1.31164,0.76021,-1.24879,1.71041,1.00351,0.54369,1.66871,1.10677,-0.22657,-0.40981,1.59704,0.83764,1.25208,0.08592,-1.32388,0.54018,-0.76359,1.10345,0
0.63386,2.26030,-0.57897,2.39774,1.01952,-0.10629,-0.98082,0.10842,0.96084,1.51313,1.03487,-0.12793,-0.05521,-1.15793,0.93853,0.05028,-0.73029,-0.12206,2.12902,-0.21305,-0.16352,0
0.40057,0.10491,3.26753,0.45212,-0.60500,0.20699,1.36446,1.24858,1.84439,-0.29776,-0.29073,-2.36430,0.84575,0.88567,2.54954,0.32284,0.37761,-0.47795,0.24557,1.46317,-1.30501,0
0.84718,1.13268,-0.19296,1.40323,0.87533,-0.19219,-0.03218,1.67189,0.62577,1.28873,0.54333,-0.40752,0.57568,0.99279,-0.24915,1.35974,0.58514,1.42420,0.93572,-1.09421,1.09946,0
1.24870,-1.04882,0.61334,0.06156,-0.30115,-0.18794,1.12352,0.91874,0.53919,2.29267,-0.49909,0.84644,1.83562,0.09158,0.02891,-0.48588,-0.20500,-0.33931,-0.81122,0.87023,0.61559,0
-0.17784,0.92656,1.84478,0.36003,0.03954,0.20774,-0.20345,0.29584,-0.31485,-0.80925,-1.90887,0.19261,0.13472,2.69251,-0.66065,-0.23264,0.71334,0.41201,-0.18869,-0.13861,-0.32946,0
-0.19683,-0.25392,2.58383,-1.76388,-1.50740,0.73594,1.04018,0.30608,-1.09215,1.32775,-0.62245,1.33764,0.12176,-0.29626,-0.02786,1.84247,0.43266,-2.46125,1.30642,0.83227,1.07613,0
0.48476,0.69584,1.11698,0.79970,0.42703,-0.02394,0.96655,0.57890,0.83491,0.13117,0.01708,0.11702,1.27529,-0.88276,-0.26282,-0.59938,2.23946,-1.81275,-0.22253,-0.87494,1.37240,0
2.67686,2.24035,0.26736,-0.04716,-0.46698,0.19337,-0.65380,0.79496,0.16075,0.69501,1.55281,0.33669,0.42630,0.76930,-0.01007,-0.00185,-0.82597,-0.25648,0.30955,0.38856,1.34397,0
0.09070,1.39177,1.57972,-0.30871,0.63835,-0.86504,1.09341,0.61884,0.48578,0.83858,1.07195,1.10500,0.94200,3.47800,-0.68290,-0.32852,0.26642,-0.70975,0.53467,0.59508,-0.13630,0
0.66995,-0.48110,-1.08725,-1.21784,0.45532,1.18850,1.11860,-0.37093,0.69322,1.60246,0.97102,1.22049,0.22350,0.22042,-0.09132,1.04250,2.03103,1.54689,0.72877,0.91881,0.91648,0
-0.17547,-0.17843,0.39624,0.30920,0.05884,1.14389,-0.17006,-1.06113,1.96841,-0.12224,-0.27789,-0.07567,-1.10181,0.41258,0.41604,-0.03161,1.27172,-0.03741,-1.33210,-0.69599,2.10103,0
-0.11595,2.41894,-0.88146,-0.37584,1.65885,1.36780,-0.51840,-0.04339,-0.72837,0.38305,-1.09668,-1.11997,-0.60106,1.29551,0.63042,1.14222,0.31612,0.01112,1.53754,0.24020,-0.93832,0
0.50576,0.05910,-0.63862,-0.39604,0.39812,1.15541,-0.26054,0.42554,-0.14640,1.91792,0.39835,1.87730,3.06183,0.41953,-0.78369,-0.71859,0.09130,-0.60494,2.58565,1.69704,0.42539,0
-0.23140,0.10964,0.07217,-0.57240,0.00483,1.07407,-1.99081,0.08674,-0.74570,2.25150,0.19692,1.93997,0.54351,-0.31217,-0.95955,-1.10468,0.69228,-0.79525,0.19945,0.94228,-0.38172,0
0.50005,1.27657,-0.49673,2.11639,0.61057,1.07650,-0.60405,0.02836,1.32961,1.98990,1.97534,0.13948,1.08673,3.04825,1.17740,0.70005,1.59335,0.75195,-0.80151,1.71244,-0.36886,0
0.53451,-1.33447,0.59044,1.04894,1.11895,0.60756,-0.35802,1.46595,0.20252,0.21657,0.54204,0.74043,1.27180,-0.46903,0.20368,1.69119,1.13153,0.91718,1.65768,1.89075,-0.85117,0
0.46209,0.95981,-2.22815,-0.24296,0.24257,1.70050,2.74202,0.90603,2.08154,-1.16371,0.64170,0.12378,0.89957,1.26886,2.03684,-0.05755,0.08753,-0.84599,0.32134,0.49627,1.61887,0
1.65979,-0.30987,0.16209,0.45243,0.94490,0.20140,-1.52960,0.22088,0.06610,-0.81027,0.13225,0.25631,1.00737,1.65314,0.69190,0.77510,1.42017,0.06110,2.24977,-0.23322,0.29748,0
0.32243,1.32367,-0.62689,0.27640,0.39883,0.86383,-1.90068,0.75282,2.40063,0.59348,-1.30800,0.91589,-0.51358,0.27472,-0.37525,-0.20593,0.29888,0.46873,-1.25195,-0.38823,1.18824,0
0.31998,0.19649,0.36309,3.02824,-0.20521,-0.25831,-1.40625,1.58317,-1.11894,0.77965,-2.03453,-0.30401,0.63114,1.35359,-0.79623,-0.09669,0.70109,0.05874,-0.75224,-0.18242,0.36861,0
-0.69910,1.12653,1.62504,0.77227,-0.63734,0.44337,2.20767,0.23630,0.87064,0.97494,-0.30061,1.10519,0.34889,1.15820,2.41649,0.30475,0.14855,1.52536,-0.47072,-0.80936,0.87068,0
1.10692,-0.96490,0.62458,1.62194,2.79090,0.35200,-0.26057,2.04491,-1.86599,0.23888,0.22383,-0.25405,-0.36304,0.60910,-0.31459,-0.28776,1.35031,1.93030,-0.40543,0.32358,0.97340,0
0.91824,1.29656,1.14212,-1.71370,1.31465,0.74563,-0.73702,1.15092,1.06273,-0.07354,0.80031,0.06421,0.74022,0.30372,-1.28177,-0.14991,-0.11312,-1.17080,0.44290,-0.24289,0.24536,0
0.71300,0.80804,-0.37811,0.84205,0.12940,-1.14862,0.79556,1.55797,0.31439,0.98492,1.16116,0.28961,0.57866,1.37780,0.81085,1.17945,0.03796,0.95584,1.24407,0.11802,-0.82268,0
0.90826,0.56451,1.14280,1.22202,0.86171,-1.19854,-0.25370,0.38369,-0.32782,-0.63886,3.56759,0.69120,1.47151,0.60683,0.78314,-0.37184,1.32288,0.42977,-0.27887,-0.64248,1.27177,0
-1.27078,1.28776,-1.49758,0.39294,2.36690,0.47008,1.67518,0.88524,-1.51154,0.06181,-0.28039,0.13656,1.92451,1.09153,1.40311,-0.22803,-0.72780,-0.55163,0.81137,-1.57223,0.63724,0
0.67785,0.27031,1.03134,0.18635,-1.33645,0.34005,2.55840,-0.80593,0.43321,0.64217,-0.11262,1.80249,1.71888,0.50586,0.17700,0.99588,0.81903,3.14514,-0.83093,0.34162,0.19122,0
1.45298,1.29566,-1.17684,1.23500,-0.32252,0.21846,0.49179,0.92593,0.82146,2.04120,0.79307,0.59349,-0.30808,1.50654,1.84133,1.97996,0.67111,1.72613,1.46931,-1.83751,0.10343,0
1.84580,1.22078,1.70265,0.65570,-1.15192,0.07261,-1.20753,0.48649,1.42436,-0.46696,1.10852,0.15498,0.20682,-1.24965,-0.64871,0.01537,-1.63058,1.61928,1.02332,1.73096,-0.67503,0
0.19559,-0.39301,0.16611,0.72116,1.05090,1.06560,0.69909,1.07120,0.56859,1.28192,0.17414,-0.08410,1.44949,-0.68383,2.25175,0.12331,0.12238,-0.90669,1.36380,-0.13979,1.58042,0
0.52249,-1.44659,-1.53667,-0.39843,0.45079,0.58737,0.41448,0.70560,-0.51492,0.79569,0.96140,1.03806,1.50978,-0.07971,-1.58392,0.02706,0.97210,-0.45893,1.30054,-1.38938,-0.22501,0
1.46103,1.52880,-0.03593,0.06343,0.04517,-0.10001,1.91211,1.39568,0.96364,-0.61752,0.62197,0.37123,-0.21640,1.12853,-0.01787,-0.49494,0.43692,0.38459,-0.29667,1.70062,1.26249,0
1.20150,-1.45433,1.27012,-0.91216,1.02516,0.96903,0.14230,-1.41434,1.57085,1.91255,-0.94951,0.65591,-1.59280,1.00015,-0.33623,-0.22939,-0.04608,-1.38787,-0.31067,0.41474,0.86626,0
0.39757,1.88780,1.80071,-0.57856,0.24598,1.02855,-0.08333,0.23485,0.30147,-1.18197,1.04888,0.67392,1.62789,0.03892,1.17918,0.63462,0.94354,0.52461,1.88091,1.04380,1.96712,0
1.01970,0.72507,-0.65420,-0.04219,1.02765,0.07977,-0.34212,-0.49664,-0.24552,2.39051,0.57433,0.80029,1.39718,0.27400,-0.85912,-0.17580,-1.56177,-1.44511,-1.00770,-0.56208,1.32130,0
-0.88456,3.01823,0.00520,0.33201,2.31874,1.11698,-0.20686,0.22822,0.52261,0.28742,1.01417,-0.33408,0.88698,-0.27885,-0.22318,1.04513,0.86807,-0.08956,0.28226,-1.37871,-0.92549,0
-0.35306,0.72933,0.09909,-0.57710,-0.35179,2.00501,-0.04874,0.26318,-1.04757,-1.79111,-0.18633,-0.18426,1.73708,1.27479,0.27362,0.65717,1.85457,0.66919,0.10482,1.11022,-0.77813,0
0.34996,1.98593,2.81740,0.27884,-2.20253,1.63816,1.56716,-0.64069,1.23457,-0.69220,0.50994,0.61280,0.91797,0.07150,0.40233,-0.88982,-0.51257,1.66819,0.15752,0.39210,1.66862,0
-0.14041,0.37147,-0.46134,0.82898,-3.33147,-0.90823,-1.35553,0.81948,-0.63186,1.03898,0.97719,0.49056,0.98050,0.47819,1.10651,0.12805,1.36168,0.44593,-1.49202,1.15260,0.62134,0
1.10047,1.13005,2.98636,-0.34588,0.54030,0.72632,-0.98636,1.31232,-1.33965,-0.54605,-0.02249,-1.21061,0.59322,0.55552,0.89264,-0.18116,-0.37232,0.96894,1.95359,0.89405,0.60995,0
1.44021,0.52934,0.81570,1.02937,-0.49771,0.90165,0.39215,1.87298,1.66346,2.23897,0.89694,0.51931,-0.25285,0.82731,-0.73686,0.74223,-1.47111,2.31163,-1.58380,2.12997,1.17611,0
-0.43889,2.04719,0.08631,-0.00501,0.43018,-0.86535,0.25035,-0.09636,-0.06899,-0.76507,1.18140,-0.35707,0.24259,0.78459,0.48831,2.36594,-0.73155,-0.34563,2.29967,-0.49854,2.02299,0
-1.31568,1.50422,1.16179,-0.11619,1.25242,-0.27417,-1.01925,0.10714,-1.04250,-0.79016,0.40447,-0.18906,1.46640,0.99125,0.89062,-0.10713,0.95785,0.32992,0.31619,-1.78715,-0.11630,0
0.35402,1.62022,-0.65357,0.92124,-0.41834,2.05079,-0.06778,0.55310,0.32112,0.60080,-1.24894,1.81973,0.20046,0.64749,0.26830,0.99730,0.48575,-0.09056,-1.10366,1.31810,-0.20212,0
-0.00991,1.28529,-0.79611,-0.68624,-0.43068,2.07078,0.75780,0.04951,1.26681,1.13948,0.48461,1.31105,-0.68980,1.18545,0.02092,-0.51427,-0.17769,-1.05870,2.27864,-1.16034,3.45123,0
-0.63376,0.61360,0.29806,1.23569,0.60267,-1.16950,0.23323,0.60867,0.43706,-1.50159,0.25707,0.57727,0.32907,0.94885,1.26800,0.44138,0.58810,0.80167,1.38902,1.26443,-0.86336,0
0.07466,0.25512,1.17909,1.89730,-0.76663,1.74513,-0.20956,0.35213,-0.25041,0.10430,0.19890,-1.01955,2.48596,0.36158,2.22409,1.28188,0.02706,0.69230,1.24181,1.25904,0.83584,0
-0.05928,-0.17214,0.32642,1.38894,1.79954,0.26887,1.77369,0.21945,0.87048,0.36664,2.14962,1.00274,-1.63761,-1.26091,2.07599,0.76205,1.11696,-1.00004,1.30612,1.61829,1.42506,0
2.61337,0.29186,-0.10022,-1.36462,1.38573,-1.13834,1.93040,-0.01874,1.40782,0.13971,-0.54303,-0.13837,0.82974,1.96346,1.39374,-0.78572,0.95126,0.69933,-0.19970,0.90484,0.43192,0
0.48067,1.48476,0.25885,-0.02927,1.91466,0.69094,0.46640,-0.82992,0.48213,-0.06225,2.04961,0.78506,-1.87156,-1.09886,1.89300,-0.18000,0.97525,1.69949,-1.25475,-0.14714,-0.10772,0
1.24073,1.34446,-0.78745,1.33098,0.89882,1.52432,0.54865,0.55616,2.72666,-1.96204,1.19471,0.92309,0.35602,0.95339,0.06473,0.84378,3.66573,-0.57177,1.57425,0.28088,0.72100,0
-0.27912,0.24982,-0.98176,0.34213,-0.91648,2.10874,0.57764,1.83918,2.28853,2.18621,-0.21332,0.43064,-0.09252,-1.06159,-1.90099,0.92292,-0.56279,0.67103,-1.44051,-0.66124,1.84542,0
-1.03866,0.51930,1.75272,0.09483,1.27154,0.85177,0.98504,-1.65028,-0.97907,-0.00295,-2.20344,-0.25354,-0.76307,-0.69071,-0.29806,-1.22222,0.31609,-0.74702,-0.39081,2.12077,1.08290,0
-2.51274,0.85979,-0.01950,-1.08244,0.02065,1.88891,-1.09848,-1.57032,-0.98405,1.06522,1.01209,-0.18310,0.98103,-0.12499,0.34567,0.94556,1.30886,2.10302,1.46885,-0.72537,-1.16519,0
2.79231,0.95764,0.33451,1.08938,0.78326,-1.69887,-1.08479,0.28759,0.82685,1.94643,1.40039,1.40659,-1.20429,-0.34241,1.50982,0.84724,1.14238,1.04115,-0.11159,0.81030,0.95843,0
1.59675,0.99198,-1.95245,0.40800,0.88756,1.12679,0.36864,-0.99834,0.17395,-0.00309,0.57233,1.33869,0.00187,0.30993,-0.90432,0.95503,-1.14564,-1.51072,0.09505,2.66913,1.03142,0
2.56275,-0.56484,-0.40220,1.62191,1.22397,-0.02994,2.58594,0.65233,-0.90897,-1.05635,1.70041,1.18905,-1.43688,1.01313,0.70339,0.39684,0.46208,1.47170,-0.66115,0.50033,1.72913,0
1.02260,2.21852,-1.81843,-0.44140,0.91832,-0.79609,0.26210,0.16997,0.19836,-0.87838,0.44068,1.14204,0.83701,0.64831,-0.18395,1.29670,0.31137,-0.88478,0.55817,1.74220,-0.02927,0
0.00526,0.51506,0.04258,1.75398,1.12378,0.39521,1.45852,1.75941,-0.55707,2.73583,-1.20698,0.42677,2.23993,-0.24716,-1.52140,1.65064,1.17409,0.03921,-0.23634,1.26861,0.77741,0
0.02349,-0.91458,-1.44033,1.00972,0.42218,-1.10268,-0.12445,2.44472,0.38293,-0.46898,0.47163,1.06201,0.89873,0.08561,-0.24225,0.35644,1.61041,-0.97243,0.01616,-0.12851,-0.02399,0
-1.27813,1.86659,1.96622,-0.12674,1.91804,0.74536,-0.51851,-1.73065,0.29468,-0.63097,0.45242,1.89787,-0.36799,0.63753,-0.44645,-0.30976,-0.91853,0.25920,-0.21614,0.30533,0.49192,0
0.28476,0.96703,1.54794,-0.78410,-1.15561,0.99843,0.92106,0.54576,0.19865,2.16683,1.46307,0.48887,1.85632,1.08697,-0.87570,2.05437,0.84016,-0.08880,2.50493,-0.15663,0.58312,0
0.78324,0.21172,0.91818,2.16383,0.06542,0.51093,1.46059,1.04622,1.51809,0.02838,0.40419,0.75183,2.06448,2.28757,-0.73644,-0.30345,0.21036,1.57033,1.88494,-0.30113,0.40605,0
0.74517,0.73438,-1.11578,0.95465,2.42306,-0.94733,1.74886,0.99218,1.37727,0.26846,-0.41566,1.39429,1.28170,1.34048,-0.29815,0.85742,0.41147,-0.38993,0.25080,1.30297,0.97489,0
2.77586,2.28194,0.08457,1.26174,-0.17748,1.42179,3.16801,-1.64970,1.95913,0.47162,1.41778,1.50298,0.92742,0.14605,1.95973,0.91769,-0.28015,1.24709,1.47657,-2.62542,1.40662,0
0.41165,-1.82528,0.71561,-0.52929,1.75547,-0.60658,-0.38570,0.42211,1.11432,1.88900,-2.87447,-0.33262,0.67376,-0.50480,1.10694,-0.65573,1.10659,1.13602,1.06705,1.19486,-0.75633,0
-0.37449,-0.33579,0.48058,0.37021,-1.09959,0.76117,0.48980,2.35081,0.00422,-1.80498,-0.37419,1.56469,2.10459,1.10156,2.64807,-1.29877,1.07220,0.34217,-0.88391,-0.10663,-0.36376,0
1.90728,0.25130,2.69405,0.41340,1.60325,-0.68737,1.28679,0.64026,-0.14069,2.00909,0.65147,-0.20714,-1.63179,0.65269,0.77144,-0.30160,0.75652,0.92261,-1.68613,3.93279,0.23096,0
-1.04059,0.58469,1.11814,1.05642,0.87291,0.43157,0.58239,0.55399,0.24458,-1.10778,0.77538,-0.66375,1.43249,-0.12427,0.07568,1.99078,-0.06577,0.75532,0.07050,0.80816,0.82367,0
0.41617,1.28119,1.40401,0.72767,-0.42958,-0.60286,0.91641,-0.30961,-0.44171,1.17413,1.07474,2.39779,-0.25988,-1.01280,-0.71968,0.04619,-0.44117,0.98478,-1.89906,2.61047,0.90951,0
0.18090,1.56139,-0.13398,2.23355,0.62217,0.12839,1.69599,-0.75588,-0.35924,0.89133,-1.63403,0.44174,-0.61031,0.37566,0.80840,1.73159,-0.70090,0.20585,1.87180,-0.62598,-0.99556,0
0.26876,0.85137,0.78556,0.28425,0.03432,0.53970,0.99770,1.65058,0.17070,0.19960,0.78834,-1.72993,2.11836,0.66667,0.83362,0.65855,0.00628,1.04306,2.01094,0.30313,0.14214,0
1.29148,-0.77694,1.04648,3.12245,0.56261,1.33248,1.10555,1.73870,-1.51699,0.94760,1.69827,-1.21434,-0.31983,-0.06403,0.94757,-0.09193,-0.24739,2.46840,0.68639,0.48255,0.36412,0
1.15497,0.08989,1.43710,-0.18294,0.19883,0.45905,1.41765,0.04531,1.92317,0.26164,1.21501,0.93752,1.28308,1.22001,0.57901,-0.05204,0.05302,-0.57465,-0.22310,1.57783,0.01435,0
1.49414,-0.11267,0.19711,1.05810,0.83670,1.15883,1.60975,1.26032,0.83426,-0.43710,-0.02366,0.45734,-0.31150,0.47451,-0.20924,1.18381,0.85059,0.60559,1.22876,0.99113,0.14700,0
0.73249,-0.60514,0.61297,-0.25031,0.58413,1.35734,1.81532,1.48153,-0.31345,0.39812,0.12647,2.66838,0.99404,-0.36443,0.18884,0.42676,0.95765,1.86887,-0.77748,-1.70694,0.74327,0
1.06082,-0.83620,-0.58812,-0.75374,0.95895,1.61613,-0.42571,1.33290,0.40919,0.29486,-0.53921,0.09281,0.56892,-0.58037,1.22274,1.89728,0.40907,0.50749,1.20347,-0.97855,1.61584,0
0.42149,1.37370,0.84580,0.19874,1.06288,1.31379,0.20073,-0.33317,-0.39785,0.04255,-1.05158,-0.16398,0.03987,0.11865,0.49218,-0.72263,1.47949,0.80127,-0.36199,0.16545,0.24873,0
0.32665,-1.27779,0.36733,1.56867,0.48761,0.26469,-1.96427,-0.87027,0.43377,-0.15787,-0.34175,0.86696,-0.32156,1.78944,-0.51079,-0.79292,0.39693,0.36377,0.98445,3.03147,1.62320,0
-1.00548,0.55253,-0.42583,-0.53478,0.03698,0.68722,1.79681,0.50281,0.84527,0.78928,0.03639,0.47392,-0.08742,0.47500,1.50336,0.60325,1.41368,-0.56645,0.02567,0.18025,1.25436,0
-2.53547,2.12047,1.71427,0.11296,0.75990,0.25904,-0.64445,-0.45805,0.48155,1.86744,1.52431,3.01367,0.27442,1.83958,-0.21163,-0.06216,1.35823,1.50110,0.07470,-1.69642,0.90772,0
2.10926,0.55853,0.00085,-1.14132,-0.61666,1.29441,0.17597,0.60993,-0.74957,-0.29115,-0.35210,0.77730,0.65246,0.49970,-0.22503,-0.88527,0.46140,1.18799,0.20380,1.78466,0.77333,0
1.77153,-0.09645,-0.62635,-0.01114,2.63595,0.25398,-0.76927,-0.04775,-0.94935,1.55597,1.12386,-1.90569,1.09847,-0.07816,0.77171,0.03701,-1.84065,-0.09131,-0.00823,1.07525,-0.27773,0
0.05205,0.25217,0.94961,0.09483,1.06241,0.00763,-0.03172,0.60603,0.38747,2.06306,1.55994,0.13300,-1.16976,0.69020,-0.49917,1.10903,-0.19504,0.95073,0.95179,0.29343,-0.52499,0
0.30692,0.02551,1.28953,-1.27404,1.69308,1.06103,0.33966,-0.22550,-0.86787,0.29324,1.27711,0.68464,-1.10816,-0.02898,0.62058,1.14763,0.63489,2.62451,0.91592,1.21891,-1.03143,0
